claim_id,claim,book,printed_page,pdf_page,figure,source_status,mathematical_implication,implemented_model,notes
MODEL-001,Exact regular twenty-eightfold division,Present project,,,,project_idealisation,beta equals pi over 7,NJG_28,Not Michell's source-faithful construction
MODEL-002,Wikimedia oblique placement formula,2008 Wikimedia reconstruction,,,,external_reconstruction,beta equals theta minus asin of r over R,NJG_SVG,Not a Michell primary source
WALL-003,Average wall side is stated very close to 3264 feet or 1200 MY,City of Revelation,63,65,12,stated_approximate,Provides a numerical target for candidate wall reconstructions,figure12_wall_reconstruction_result,Earlier City of Revelation mean-side target retained separately from Michell's later Sommerville 3280/3270 side-class discussion
WALL-004,Area of the complete figure is stated as 120 million square feet,City of Revelation,63,65,12,stated_approximate,Provides an area target for candidate wall reconstructions,polar_pivot_tangent_wall,Polar-pivot reconstruction gives approximately 120002599.573 square feet
WALL-005,One outward radial support tangent is assigned to each Moon circle,Present project,,,,project_inference,Consecutive support-line intersections define twelve wall vertices,radial_support_wall,Historical project inference retained for reproducibility; Figure 12 source calibration no longer favors it as the preferred wall reconstruction
SEVEN-005,Twenty-eight points form the framework for positioning the twelve lunar circles,How the World Is Made,32,50,27,stated_approximate,Defines the source septenary scaffold,michell_28_point_scaffold,
SEVEN-006,Twelve of the twenty-eight points indicate lunar-circle centres,How the World Is Made,32,50,27,stated_approximate,Defines twelve Moon-centre roles,michell_28_point_scaffold,
SEVEN-007,Eight points fit between pairs of lunar circles,How the World Is Made,32,50,27,stated_approximate,Defines eight inter-Moon-gap roles,michell_28_point_scaffold,
SEVEN-008,Eight points position circles that pass through square-circle intersections,How the World Is Made,32,50,27,stated_approximate,Defines eight intersection-positioner roles,michell_28_point_scaffold,
SEVEN-009,The Method 1 heptagonal step equals approximately 51.470701432440 degrees,Present project,,,,project_derivation,Analytic result derived from Figure 194,michell_28_point_scaffold,Relative angular error is approximately 0.081919 percent
GAP-001,Four large circumference gaps each measure 1200,How the World Is Made,33,51,28,conventional_exact,Each gap normalizes to 5 over 3,michell_gap_arithmetic,Uses the pi equals 22 over 7 convention
GAP-002,Eight small circumference gaps each measure 120,How the World Is Made,33,51,28,conventional_exact,Each gap normalizes to 1 over 6,michell_gap_arithmetic,Uses the pi equals 22 over 7 convention
GAP-003,Twelve Moon diameters plus four large gaps plus eight small gaps total 31680,How the World Is Made,33,51,28,conventional_exact,Normalizes to a total circumference of 44,michell_gap_arithmetic,Uses the pi equals 22 over 7 convention
STAR-001,A seven-pointed star is placed within the zodiac circle,City of Revelation,66,68,14,stated_approximate,Defines the next interior overlay,not_yet_implemented,
STAR-002,Star extremities accord with three circle centres and two square-circle junctions,City of Revelation,66,68,14,stated_approximate,Provides alignment constraints for heptagram fitting,not_yet_implemented,
STAR-003,Figure 14 contains three star extremities at Moon-circle centres,City of Revelation,67,69,14,stated_approximate,Defines three endpoint roles,figure14_heptagram,Exact identities resolved from the printed plate
STAR-004,Figure 14 contains two star extremities at square-circle junctions,City of Revelation,67,69,14,stated_approximate,Defines two endpoint roles,figure14_heptagram,Upper-left and upper-right junctions
STAR-005,The remaining two Figure 14 extremities occupy inter-Moon gaps on the zodiac circle,Present project,,,,project_inference,Completes the seven-anchor set,figure14_heptagram,Inferred from the printed plate and later 28-point scaffold
STAR-006,The Figure 14 printed line topology is consistent with the heptagram seven over two,Present project,,,,project_result,Defines the source-supported star edge traversal,figure14_edge_topology,Three independent near-endpoint trace passes; 21 of 21 endpoint-pass wins; angular RMS 1.248033670 degrees
STAR-007,The regular and Michell-scaffold candidates each fit the Figure 14 anchors within 0.05 normalized units,Present project,,,,project_result,Quantifies the near-coincidence of candidate constructions,figure14_heptagram,Neither candidate strictly dominates
WALL-006,The dodecagon is regular at its four polar sides while the other eight sides are slightly shorter,How the World Is Made,34,52,30,stated_approximate,Supports four fixed polar sides and a distinct eight-side oblique class,polar_pivot_tangent_wall,Michell reports Ian Sommerville's analysis
WALL-007,The four longer dodecagon sides are approximately 3280 feet and the eight shorter sides approximately 3270 feet,How the World Is Made,34,52,30,stated_approximate,Provides separate numerical targets for the polar and oblique wall-side classes,polar_pivot_tangent_wall,Polar-pivot values are approximately 3279.698115 and 3271.120651 feet
WALL-008,The irregular dodecagon perimeter is virtually 36000 feet in the old English foot,How the World Is Made,34,52,30,stated_approximate,Provides a perimeter target under the stated 12 to 11 old-English-foot conversion,polar_pivot_tangent_wall,Polar-pivot reconstruction gives approximately 36013.778 old English feet
WALL-009,The Figure 12 source-calibrated wall directions favor the polar-pivot tangent reconstruction over regular-direction tangency and radial support,Present project,,,12,project_result,"Primary angular RMS values are approximately 1.019836 degrees, 1.458882 degrees, and 4.755396 degrees",figure12_wall_model_comparison,Same angular ranking in all three independently digitised and registered passes
WALL-010,Among the three complete exact NJG_INC wall candidates the radial-support construction has the smallest Figure 12 support-distance RMS,Present project,,,12,project_result,Support-distance evidence does not uniquely select the polar-pivot construction,figure12_wall_model_comparison,Primary support RMS: radial 0.032822024 u; regular-direction 0.036819219 u; polar-pivot 0.038999406 u
WALL-011,The exact NJG_INC polar-pivot wall reproduces the later Sommerville wall dimensions within approximately 0.04 percent,Present project,,,12/30 comparison,project_result,Provides an independent numerical validation channel in addition to Figure 12 plate fitting,polar_pivot_tangent_wall,Errors: polar side -0.009204 percent; oblique side +0.034271 percent; area +0.002166 percent; old-English perimeter +0.038272 percent
