record_id,family,quantity_name,record_type,book,printed_page,pdf_page,figure,source_status,attribution_class,attributed_person_or_source,source_value,source_unit,secondary_value,secondary_unit,relation,pi_convention,prediction_status,v0_5_geometry_reference,previously_used_in_development,evaluable_from_v0_5,notes
UNIT-004,metrological_unit,new_jerusalem_cubit,unit_definition,City of Revelation,32,34,,stated_exact,michell_stated,,1.728,foot,1,cubit,1 New Jerusalem cubit = 1.728 feet,,unit_definition,,false,true,Michell explicitly adopts 1.728 ft for the New Jerusalem cubit while noting a normal Egyptian royal-cubit range near 1.718-1.72 ft.
WALL12-001,figure12_wall,mean_wall_side,dimension,City of Revelation,63,65,12,stated_approximate,michell_stated,,3264,foot,1200,megalithic_yard,Mean wall side is very close to 3264 feet or 1200 MY,,development_used_target,POLAR_PIVOT_WALL / mean side length,true,true,Earlier Figure 12 mean-side target was already available during wall reconstruction work; later residual is retrospective.
WALL12-002,figure12_wall,wall_perimeter_in_megalithic_yards,dimension,City of Revelation,63,65,12,stated_approximate,michell_stated,,14400,megalithic_yard,,,12 × 1200 MY mean side = 14400 MY perimeter,,construction_identity,POLAR_PIVOT_WALL / perimeter,true,true,Source says 'in this case'; arithmetic consequence of the source's approximate 1200 MY mean-side value.
WALL12-003,figure12_wall,wall_area,dimension,City of Revelation,63,65,12,stated_approximate,michell_stated,,120000000,square_foot,,,Area of complete Figure 12 is approximately 120 million square feet,,development_used_target,POLAR_PIVOT_WALL / enclosed area,true,true,Historical area target was already used in assessment of the preferred wall reconstruction.
SOMM-001,sommerville_wall,polar_wall_side,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,3280,foot,4,dimensionless,Four longer polar sides = approximately 3280 feet each,,development_used_target,POLAR_PIVOT_WALL / polar side class,true,true,Used during development/selection of the preferred wall; must not later be presented as independent prediction.
SOMM-002,sommerville_wall,oblique_wall_side,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,3270,foot,8,dimensionless,Eight shorter oblique sides = approximately 3270 feet each,,development_used_target,POLAR_PIVOT_WALL / oblique side class,true,true,Used during development/selection of the preferred wall; must not later be presented as independent prediction.
SOMM-003,sommerville_wall,wall_area,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,120000000,square_foot,,,Irregular dodecagon area is close to 120000000 square feet,,development_used_target,POLAR_PIVOT_WALL / enclosed area,true,true,Same broad area target already present in City of Revelation and used in wall assessment.
SOMM-004,sommerville_wall,working_tolerance,tolerance,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,1,dimensionless,2500,dimensionless,Working tolerance = 1:2500,,descriptive_correspondence,,true,true,Historical analysis tolerance; it is not a fitted v0.6 threshold and must not be tuned after residuals are seen.
SOMM-005,sommerville_wall,wall_perimeter_old_english_foot,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,36000,old_english_foot,,,Wall perimeter is virtually 36000 old-English feet,,development_used_target,POLAR_PIVOT_WALL / perimeter,true,true,Used during development/assessment of the preferred wall; comparison must use the separately registered 12:11 conversion.
SOMM-006,sommerville_wall,old_english_to_current_foot_ratio,unit_definition,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,12,old_english_foot,11,current_foot,Old-English foot relates 12:11 to the current foot,,unit_definition,,true,true,Source-reported conversion used to express the wall perimeter; not a prediction.
DECAGON-001,sommerville_decagon,decagon_radius_long,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,6336,foot,,,One of the two radii to the decagon = 6336 feet,,not_evaluable_from_v0_5,,false,false,"Registered to prevent cherry-picking, but the signed v0.5 composite contains no explicit decagon object."
DECAGON-002,sommerville_decagon,decagon_radius_short,dimension,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,6300,foot,,,One of the two radii to the decagon = 6300 feet,,not_evaluable_from_v0_5,,false,false,"Registered to prevent cherry-picking, but the signed v0.5 composite contains no explicit decagon object."
DECAGON-003,sommerville_decagon,decagon_radii_ratio,ratio,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,176,dimensionless,175,dimensionless,6336:6300 = 176:175,,not_evaluable_from_v0_5,,false,false,Source relation is recorded even though the corresponding decagon geometry is outside v0.5.
DECAGON-004,sommerville_decagon,long_decagon_radius_fraction_of_cosmological_circumference,conventional_relation,How the World Is Made,34,52,30,reported_approximate,michell_reports_other,Ian Sommerville,6336,foot,31680,foot,6336 is one fifth of 31680,,not_evaluable_from_v0_5,,false,false,"Arithmetic relation is source-reported, but its decagon interpretation is not evaluable from the frozen v0.5 object set."
